GRB Name	Obs_ID	z	1+z	T90_raw(s)	T90_raw_error	T50_raw(s)	T50_raw_error	E1_obsframe(KeV)	E2_obsframe(KeV)	T90_(s)	T90_error	T50_(s)	T50_error
201104B	1004168	1.954	2.954	10.448	2.883	5.552	0.417	47.39	118.48	8.56	0.23	5.104	0.486
160121A	671231	1.960	2.96	10.848	1.67	4.88	0.823	47.30	118.24	7.44	1.022	4	0.871
81008	331093	1.967	2.967	166.912	33.379	111.296	1.934	47.19	117.96	167.728	24.736	106.416	5.69
170113A	732526	1.968	2.968	20.592	4.477	10.608	0.649	47.17	117.92	18.608	4.749	10.368	2.902
180329B	819490	1.998	2.998	224.848	35.111	142.768	3.528	46.70	116.74	16.448	5.562	6.864	1.3
170705A	760064	2.010	3.01	224	15.031	107.04	70.704	46.51	116.28	210.048	30.829	26.624	97.312
161017A	718023	2.010	3.01	217.728	6.527	126.64	5.22	46.51	116.28	215.44	13.341	120.416	5.937
70611	282003	2.040	3.04	12.064	2.426	3.92	2.031	46.05	115.13	9.12	2.737	1.296	2.483
150403A	637044	2.060	3.06	48.832	24.849	9.024	0.474	45.75	114.38	28.256	2.846	7.232	0.419
80207	302728	2.086	3.0858	304.064	8.824	147.344	19.523	45.37	113.42	296.496	9.744	11.344	38.219
150206A	630019	2.087	3.087	92.72	27.123	18.288	0.656	45.35	113.38	78.128	15.265	17.856	0.444
061222A	252588	2.088	3.088	75.328	12.018	23.632	1.586	45.34	113.34	69.168	16.343	15.904	1.215
130610A	557845	2.092	3.092	193.44	90.359	18.672	7.715	45.28	113.20	38.544	10.64	11.36	1.481
110205A	444643	2.100	3.1	267.504	16.17	102.72	7.5	45.16	112.90	265.856	33.4	92.128	11.164
100728B	430172	2.106	3.106	11.92	2.637	4.464	1.234	45.07	112.69	10.624	2.709	4.384	1.336
070810A	287364	2.170	3.17	7.488	1.145	3.376	0.4	44.16	110.41	5.056	0.577	2.832	0.857
050922C	156467	2.198	3.198	4.544	0.442	1.408	0.09	43.78	109.44	3.472	0.821	1.328	0.124
121128A	539866	2.200	3.2	23.056	1.843	7.264	0.436	43.75	109.38	18.192	1.497	5.488	0.43
80804	319016	2.200	3.2	28.256	6.43	10.944	1.222	43.75	109.38	26.72	6.104	9.904	1.28
180325A	817564	2.250	3.25	90.8	3.385	4.976	1.159	43.07	107.69	455.968	62.01	124.672	42.425
60124	178750	2.297	3.297	13.632	1.312	7.456	2.368	42.46	106.16	8.64	1.169	5.728	1.504
121024A	536580	2.298	3.298	11.344	1.18	6.208	1.266	42.45	106.12	11.472	1.319	6.608	1.611
70506	278693	2.310	3.31	4.352	0.614	1.76	0.593	42.30	105.74	2.768	0.531	1.536	0.582
151021A	660671	2.330	3.33	114.56	4.125	36.736	1.245	42.04	105.11	104.672	7.647	32.832	1.545
70129	258408	2.338	3.3384	460.976	63.417	263.744	30.857	41.94	104.84	71.136	5.937	29.136	22.829
110128A	443861	2.339	3.339	16.592	3.048	8.24	2.33	41.93	104.82	45.408	14.395	21.248	13.229
051109A	163136	2.346	3.346	36.8	4.959	23.2	15.454	41.84	104.60	5.264	0.931	2.48	0.867
70110	255445	2.352	3.352	88.608	14.379	30.8	5.853	41.77	104.42	40.464	3.442	20.656	4.205
120815A	531003	2.358	3.358	6.944	1.022	3.472	0.861	41.69	104.23	2.72	0.758	1.44	0.967
170531B	755354	2.366	3.366	172.384	9.642	134.208	10.509	41.59	103.98	167.472	9.085	138.032	18.292
080905B	323898	2.374	3.374	94.704	9.295	75.648	6.082	41.49	103.73	85.6	3.644	70.272	7.92
160227A	676423	2.380	3.38	315.856	70.295	186.464	13.206	41.42	103.55	235.664	13.489	160.352	44.885
171222A	799669	2.409	3.409	174.112	22.922	99.808	19.292	41.06	102.67	167.232	32.646	95.344	42.602
51001	157870	2.430	3.4296	178.656	13.787	99.248	31.747	40.82	102.05	191.52	17.696	118.464	20.638
080413A	309096	2.430	3.43	46.352	0.465	15.344	0.749	40.82	102.04	45.104	1.117	14.624	0.315
80310	305288	2.430	3.43	320.56	16.622	244.912	13.281	40.82	102.04	28.208	6.805	8.736	11.693
70802	286809	2.450	3.45	13.984	2.625	8.912	2.558	40.58	101.45	8.992	2.053	5.728	2.636
90812	359711	2.452	3.452	78.144	12.498	24.864	1.296	40.56	101.39	58.736	3.411	21.312	1.234
71021	294974	2.452	3.452	236.48	66.921	60.976	37.908	40.56	101.39	62.752	21.261	23.936	22.685
100424A	420367	2.465	3.465	90.864	8.578	40.48	7.29	40.40	101.01	51.184	6.691	27.216	5.762
190719C	915381	2.469	3.469	186.208	9.309	99.456	6.052	40.36	100.89	177.856	6.448	94.272	23.013
180115A	805318	2.487	3.487	41.504	3.066	30.832	3.026	47.35	100.37	46.064	5.001	34.432	10.67
70529	280706	2.500	3.4996	109.28	19.698	55.776	8.415	40.00	100.01	76.832	31.453	52.688	10.854
050915A	155242	2.527	3.5273	53.424	10.044	17.488	4.585	39.69	99.23	27.232	12.728	14.096	5.21
130131B	547420	2.539	3.539	4.352	0.3	2.688	0.846	39.56	98.90	4.4	0.409	2.576	0.763
151215A	667392	2.590	3.59	3.072	0.443	1.968	0.323	39.00	97.49	1.2	0.229	0.56	0.359
90426	350479	2.609	3.609	1.264	0.273	0.448	0.182	38.79	96.98	0.56	0.137	0.24	0.124
050820A	151207	2.615	3.6147	241.36	12.277	220.56	3.117	38.73	96.83	237.52	4.766	209.248	192.092
70103	254532	2.621	3.6208	18.32	1.14	7.168	5.625	38.67	96.66	10.32	0.563	9.248	2.432
90529	353540	2.625	3.625	79.808	13.905	37.408	10.011	38.62	96.55	62.688	14.664	33.904	13.447
80210	302888	2.641	3.641	45.568	10.652	11.648	2.433	38.45	96.13	20.352	3.224	8.08	1.863
120811C	530689	2.671	3.671	24.224	3.175	7.008	0.489	38.14	95.34	23.04	4.555	6.672	0.659
080603B	313087	2.690	3.69	59.504	2.252	45.505	1.124	37.94	94.85	56.368	2.226	42.112	4.018
71031	295670	2.692	3.692	181.488	30.035	114.208	11.346	37.92	94.80	125.6	13.378	56.128	46.548
90726	358422	2.710	3.71	58.064	12.174	21.392	9.522	37.74	94.34	17.488	4.293	8.672	3.298
60714	219101	2.710	3.71	114.912	7.97	82.368	3.457	37.74	94.34	107.008	6.919	85.408	7.941
140206A	585834	2.730	3.73	96.096	18.87	11.264	19.12	37.53	93.83	83.072	9.18	10.192	25.536
90809	359530	2.737	3.737	6.08	1.312	2.56	1.005	37.46	93.66	6.832	1.651	3.104	1.369
91029	374210	2.752	3.752	34.048	1.688	13.072	1.069	37.31	93.28	35.296	2.65	15.12	2.852
81222	337914	2.770	3.77	24.992	2.563	5.28	0.2	37.14	92.84	17.44	2.853	4.688	0.264
120327A	518731	2.813	3.813	65.952	6.777	23.824	3.444	36.72	91.79	83.136	38.614	23.776	5.911
161014A	717500	2.823	3.823	25.52	3.939	12.592	3.887	36.62	91.55	17.984	1.808	8.192	3.969
110731A	458448	2.830	3.83	42.096	12.84	4.88	0.186	36.55	91.38	31.28	19.328	4.72	0.17
180624A	844192	2.855	3.855	465.216	36.332	325.552	9.305	36.32	90.79	461.728	59.093	322.544	18.492
120404A	519380	2.876	3.876	38.386	4.908	17.248	3.077	36.12	90.30	40.016	6.344	17.312	2.991
111107A	507185	2.893	3.893	31.072	7.974	11.056	2.946	35.96	89.90	31.584	11.236	9.184	5.284
50401	113120	2.900	3.9	33.12	1.037	25.792	0.588	35.90	89.74	32.032	0.77	25.232	0.497
201020A	1000926	2.903	3.903	14.17	11.936	3.714	4.864	35.87	89.67	7.216	0.893	3.264	0.708
181020A	867987	2.938	3.938	243.568	13.439	17.296	6.28	35.55	88.88	229.328	16.505	11.008	2.856
120118B	512003	2.943	3.943	22.672	2.233	9.152	1.164	35.51	88.76	23.808	4.329	9.04	2.33
141109A	618024	2.993	3.993	151.312	13.295	49.168	6.437	35.06	87.65	142.96	31.975	47.28	8.818
140114A	583861	3.000	4	143.376	12.658	53.664	3.288	35.00	87.50	103.328	14.59	37.888	7.521
090715B	357512	3.000	4	268.256	11.4	63.472	1.191	35.00	87.50	80.528	14.67	54.56	4.011
80607	313417	3.036	4.036	81.888	2.675	23.184	1.222	34.69	86.72	73.488	10.46	10.336	2.915
091109A	375246	3.076	4.076	21.92	3.808	10.048	3.603	34.35	85.87	17.184	3.321	8.272	3.113
060607A	213823	3.082	4.082	102.32	20.047	26.528	2.173	34.30	85.74	102.928	13.706	22.56	3.622
120922A	534394	3.100	4.1	175.808	30.454	94.608	4.037	34.15	85.37	160.464	38.491	99.152	12.865
